"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","domingo",2253.5311520421
"2","member","domingo",939.11116338285
"3","casual","segunda-feira",1915.58704144199
"4","member","segunda-feira",791.472348683094
"5","casual","terça-feira",1676.18453255729
"6","member","terça-feira",767.150189355551
"7","casual","quarta-feira",1664.71956324778
"8","member","quarta-feira",766.352007586677
"9","casual","quinta-feira",1669.30151715754
"10","member","quinta-feira",765.25193853996
"11","casual","sábado",2084.98509632796
"12","member","sábado",914.428321917253
